"If you want to be free of loginning Alipay for paying the following orders, Please click the following button.","如果你想为下面订单付款时免登录支付宝，请点击下面的按钮。"
"If you want to login freely when you pay using Alipay, please login using Alipay Quick Login in 30 minutes earlier than paying.","如果您想使用支付宝付款时免登录，那么请在付款前30分钟内使用“支付宝快捷登录”进行登录。"
"Industrial Bank","兴业银行"
"Industrial and Commercial Bank of China","中国工商银行"
"Internet Banking Payment","网银付款"
"Internet Banking Payment service of this website is in cooperation with Alipay, so it is security when mall's name is displayed as ""Alipay Compay"" on the specific Internet Banking page. Please use the service trustingly!","本网站的网上银行付款服务是与支付宝合作的，因此具体银行页面上显示的商城名称为“支付宝公司”。这是安全的，请放心使用！"
"Internet Banking page will be opened in a new window","将会在新窗口中打开网上银行页面"
"Invalid Request.","无效的请求。"
"Invalid order ID.","无效的订单号。"
"Invalid payment bank!","无效的付款银行！"
"Invalid payment method!","无效的付款方式！"
"Launched in 2004, Alipay (www.alipay.com) is a commonly used third-party online payment solution in China. Alipay provides an escrow payment service that reduces transaction risk for online consumers. Shoppers have the ability to verify whether they are happy with goods before releasing funds to the seller.","支付宝（中国）网络技术有限公司是国内领先的第三方支付平台，致力于提供“简单、安全、快速”的支付解决方案。支付宝公司从2004年建立开始，始终以“信任”作为产品和服务的核心。作为中国主流的第三方支付平台，我们不仅从产品上确保用户在线支付的安全，同时致力于通过担保交易等创新让用户通过支付宝在网络间建立信任的关系，去帮助建设更纯净的互联网环境。"
"NORMAL","普通会员"
"Need CTU Check","需要CTU校验"
"No order for processing found!","没有找到需处理的订单！"
"No payment bank!","无付款银行！"
"Not Alipay notification or invalid sign.","非支付宝通知或签名无效。"
"Not return of Alipay Quik Login or Alipay response errors.","非支付宝快捷登录返回或支付宝响应错误。"
"Notify IPs","通知IP"
"Order Amount","订单金额"
"Order Info","订单信息"
"Order No: %s","订单号：%s"
"Order not found.","订单未找到。"
"POST Receipt Timeout","邮政收货超时时间"
"Partner ID","合作者ID"
"Pay At Once","立即付款"
"Pay Timeout","付款超时时间"
"Payee account is locked or not activated, please log in Alipay to activate the account.","收款方帐号被锁定或未激活，请登录支付宝激活帐号。
"Paying before %s, you are free of login Aliapy.","在%s之前付款，可以免登录支付宝。"
"Paying for order %s is successful.","订单%s付款成功。"
"Payment Bank","付款银行"
"Payment has been received, the order is processing.","款项已收到，订单正在处理中。"
"Payment Info","付款信息"
"Payment is timeout. The order is canceled.","付款超时，订单取消。"
"Payment is timeout. The transaction is canceled.","付款超时，交易取消。"
"Payment Method :","付款方式："
"Payment method is dismatch!","付款方式不匹配！"
"Personal Banking (Credit Card)","个人银行（信用卡）"
"Personal Banking (Debit Card)","个人银行（储蓄卡）"
"Please <a href=""%s"" target=""_blank"">Contact Us</a>, or visit <a href=""http://help.alipay.com/lab/index.htm"" target=""_blank"">Alipay Help Center&nbsp;&gt;&gt;</a>.","请<a href=""%s"" target=""_blank"">联系我们</a>，或者访问<a href=""http://help.alipay.com/lab/index.htm"" target=""_blank"">支付宝帮助中心&nbsp;&gt;&gt;</a>。"
"Please select a payment bank!","请选择付款银行！"
"Please select a payment bank (Free Fee)","请选择付款银行（免收手续费）"
"Please wait for buyer to return goods.","请等待买家退货。"
"PingAn Bank","平安银行"
"Post Logistics","邮政物流"
"Postal Savings Bank of China","中国邮政储蓄银行"
"Private Keys","合作者密钥"
"Prompt","提示"
"Quick Login","快捷登录"
"Refund is successful, the transaction is closed.","退款成功，交易关闭。"
"Refused to refund.","已拒绝退款。"
"Seller Alipay Account","卖家支付宝帐户"
"Seller Email","商家账户"
"Server IPs of Alipay sending notifications","支付宝发送通知的服务器IP"
"Set unpaid transaction timeout, once timeout, the transaction will automatically be closed.<br/>The range of values is 1m-15d, where m is replace of minute, h is replace of hour, d is replace of day, and 1c is the replace of that day. Its number part must be interger.","设置未付款交易的超时时间，一旦超时，该笔交易就会自动被关闭。<br/>取值范围：1m～15d。m-分钟，h-小时，d-天，1c-当天。其数值部分必须是整数。"
"Shanghai Pudong Development Bank","上海浦东发展银行"
"Shanghai Rural Commercial Bank","上海农商银行"
"Sorry, ""%s"" error occured. Please try again.","非常抱歉，发生了“%s”错误，请重试。"
"Sorry, could not retrieve Alipay token. Please try again.","非常抱歉，不能检索到支付宝授权令牌。请重试。"
"Sorry, could not retrieve Alipay user id, real name or email. Please try again.","非常抱歉，不能检索到支付宝用户号，姓名或账号。请重试。"
"Status of Pay with No Login: %s","付款免登录状态：%s"
"Suggest Refund Time","建议退款时间"
"The customer was redirected to %s.","客户被重定向到%s。"
"The deadline of allowing buyer to refund when seller fails to delivery.<br/>Its unit is d that means day. For example: 7d","卖家逾期不发货，允许买家退款的期限。<br/>单位为d（天）。例如：7d"
"The deadline of completing automatically the (post) transaction when buyer fails to confirm receipt.<br/>Its unit is d that means day. For example: 7d","买家逾期不确认收货，自动完成（邮政）交易的期限。<br/>单位为d（天）。例如：7d"
"The deadline of suggesting buyer to refund when seller fails to delivery.<br/>Its unit is d that means day. For example: 7d","卖家逾期不发货，建议买家退款的期限。<br/>单位为d（天）。例如：7d"
"The order can't be pay!","不可付款的订单。"
"The order of %s: ","%s订单："
"The notification of delivery has error, please contact technical personnel.","发货通知有错误，请联系技术人员。"
"The transaction is finished.","交易完成。"
"This function need to contact Alipay to open.","本功能需要联系支付宝开通。"
"Trade Finished (Alipay)","交易完成（支付宝）"
"Trade Success (Alipay)","交易成功（支付宝）"
"Unknown payment method.","未知付款方式。"
"Unique user number of signed Alipay account. Beginning with ""2088"", it is compose of 16 numbers.","签约的支付宝账号对应的支付宝唯一用户号。以2088开头的16位纯数字组成。"
"User Account: %s","用户帐号：%s"
"User Grade: %s","用户等级：%s"
"User Grade Decay Time: %s","用户等级衰减时间：%s"
"User Grade Type: %s","用户等级类型：%s"
"User ID: %s","用户号：%s"
"User Name: %s","用户姓名：%s"
"VIP","VIP会员"
"Valid","有效"
"Verify Notify IP","验证通知IP"
"View Order Info","查看订单详情"
"Waiting Delivery (Alipay)","等待发货（支付宝）"
"Waiting Payment (Alipay)","等待付款（支付宝）"
"Waiting Receipt (Alipay)","等待收货（支付宝）"
"Waiting buyer for paying.","等待买家付款！"
"Waiting buyer for receiving goods.","等待买家收货。"
"We have discovered you already have an account at our store. Your Alipay account is now connected to your store account.","我们发现您在本网站已有帐户。现在您的支付宝帐户已与您在本网站的帐户关联起来了。"
"Website IP","网站IP"
"When Payment Encounter Problems","付款遇到问题时"
"You can connect store account with your Alipay account so you could login easier in the future.","您可以将网站账户与您的支付宝帐户关联起来，以便将来更容易登录。"
"You will be redirected to Alipay website when you pay an order.","在付款时，您会被重定向到支付宝网站。"
"Your Alipay account is already connected to one of our store accounts.","您的支付宝帐户已与网站的其它帐户关联。"
"Your Alipay account is now connected to your new user accout at our store. Now you can login using our Alipay Quick Login button or using store account credentials you will receive to your email address.","您的支付宝帐户已与您在本网站的新帐户关联。现在您可以使用“支付宝快捷登录”按钮或者邮件收到的网站帐户证书进行登录。"
"Your Alipay account is now connected to your store accout. You can now login using our Alipay Quick Login button or using store account credentials.","您的支付宝帐户已与您在本网站的帐户关联。现在您可以使用“支付宝快捷登录”按钮或者网站帐户证书进行登录。"
"You can login using your <strong>Alipay</strong> credentials.","您可以使用您的<strong>支付宝</strong>帐户登陆。"
"You have successfully disconnected your Alipay account from our store account.","您已经成功将您的支付宝帐户与网站帐户解除关联。"
"You have successfully logged in using your Alipay account.","您已使用您的支付宝帐户成功登录。"
"You will be redirected to Alipay in a few seconds.","几秒钟之后将跳转到支付宝网站。"
"Your order had already shipped completely, please confirm on Alipay as soon as possible after receiving goods.","您的订单已全部发货，请收到货物后在支付宝上尽快确认。"
